AgriDemand,CommercialDemand,Country,CurrentHVLineDist,CurrentMVLineDist,EducationDemand,GHI,GridCellArea,HealthDemand,HydropowerDist,IsUrban,NightLights,PerCapitaDemand,PlannedHVLineDist,PlannedMVLineDist,Pop,ResidentialDemandTierCustom,RoadDist,SubstationDist,TransformerDist,TravelHours,X_deg,Y_deg,id,Admin1,Cat_1,Cat_2,Cat_3,Unc,Prim,Sec,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025,Pop2030,Pop2020,ElecStart,GridDistCalibElec,FinalElecCode2020,Commercial_Multiplier,MVConnectDist,NewConnections2025,NumPeoplePerHH,HealthDemand2020,HealthDemand2025,EducationDemand2020,EducationDemand2025,CommercialDemand2025,AgriDemand2025,EnergyPerSettlement2025,TotalEnergyPerCell,Tier,AverageToPeak,MG_PV_Hybrid2025,MG_Wind_Hybrid2025,MG_Hydro2025,SA_PV2025,Grid2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,FinalElecCode2025,NewCapacity2025,NewConnections2030,HealthDemand2030,EducationDemand2030,CommercialDemand2030,AgriDemand2030,EnergyPerSettlement2030,MG_PV_Hybrid2030,MG_Wind_Hybrid2030,MG_Hydro2030,SA_PV2030,Grid2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,InvestmentCapita2030,FinalElecCode2030,NewCapacity2030
11.240795,0.0,Sierra Leone,105.2,5.816,0.0,2007.0,0.009,0,29.75629,0,0.0,8.0625,65.4,5.816,10.73159,91.5,1.538,105.191,9999,2.01667,-11.50511,9.99611,11,Northern,0,0,0,0,0,0,1.0811572,0.00666478,13.252359,0.0,13.592841,13.942071,13.252359,0,5.816,99,0.375,0.0,13.592841,5.2,0,0,0.0,0.0,0.0,10.9592285,120.55151,123.64874,1,0.3,15.437299,114.28501,99.0,0.63031906,99.0,0.0,0,SA_PV2025,0.63031906,3.0,585.9726,1,43.10891,3.0,0.06673948,1.3492296,0,0.0,4.0793114,1.0878164,16.04529,113.57678,212.41595,99.0,0.6290564,99.0,0.0,0,SA_PV2030,0.6290564,3.0,77.992386,1,57.80513,3.0,0.00888296
46.835777,0.0,Sierra Leone,114.501,1.992,0.0,2016.0,0.017,0,53.40835,0,0.0,8.0625,84.11,1.992,44.71413,91.5,7.439,114.499,9999,2.26667,-11.25717,9.99611,12,Northern,0,0,0,0,0,0,1.070245,0.008977113,55.217144,0.0,56.63579,58.090885,55.217144,0,1.992,99,0.375,1.992,56.63579,5.2,0,0,0.0,0.0,0.0,45.662605,502.28867,515.19354,1,0.3,4.3478518,103.195564,99.0,0.6275052,99.0,0.0,0,SA_PV2025,0.6275052,3.0,2430.6077,1,42.91646,3.0,0.27683458,2.455096,0,0.0,7.4228296,1.9794213,29.196463,71.59076,170.42993,99.0,0.6262481,0.01,2.1319282,1,Grid2030,0.01,1.0,32898.062,1,13399.908,2.0,0.013337053
140.50732,526.90247,Sierra Leone,110.33,8.288,0.0,2016.0,0.035,0,44.17091,0,0.0,8.0625,76.569,8.288,134.14238,91.5,9.899,110.326,9999,2.71667,-11.34885,9.99569,13,Northern,0,0,0,0,0,0,1.070245,0.005599583,165.65141,0.0,169.90736,174.27264,165.65141,0,8.288,99,0.375,0.0,169.90736,5.2,0,0,0.0,0.0,513.7043,136.98781,2020.5702,2072.483,1,0.3,1.5120932,100.35884,99.0,0.6275052,99.0,0.0,0,SA_PV2025,0.6275052,3.0,9777.671,1,57.54707,3.0,1.1136299,5.365288,0,0.0,16.221613,4.325763,63.805008,42.892246,141.73038,99.0,0.6262481,99.0,0.0,0,SA_PV2030,0.6262481,3.0,308.7566,1,57.54707,3.0,0.035165902
140.50732,526.90247,Sierra Leone,111.254,6.379,0.0,2014.0,0.026,0,46.38203,0,0.0,8.0625,78.339,6.379,134.14238,91.5,8.298,111.25,9999,2.67443,-11.32648,9.99556,14,Northern,0,0,0,0,0,0,1.070245,0.00301669,165.65141,0.0,169.90736,174.27264,165.65141,0,6.379,99,0.375,0.0,169.90736,5.2,0,0,0.0,0.0,513.7043,136.98781,2020.5702,2072.483,1,0.3,1.4667413,100.31445,99.0,0.6281283,99.0,0.0,0,SA_PV2025,0.6281283,3.0,9787.381,1,57.604218,3.0,1.1147358,5.365288,0,0.0,16.221613,4.325763,63.805008,41.487564,140.32674,99.0,0.62687004,99.0,0.0,0,SA_PV2030,0.62687004,3.0,309.0632,1,57.604218,3.0,0.035200823
27.23856,0.0,Sierra Leone,103.056,4.879,0.0,1999.0,0.009,0,19.62192,0,0.0,8.0625,52.284,4.879,26.00466,91.5,4.979,103.039,9999,1.9,-11.83264,9.99528,15,Northern,0,0,0,0,0,0,1.0811572,0.001497721,32.112957,0.0,32.93801,33.78426,32.112957,0,4.879,99,0.4125,0.0,32.93801,5.2,0,0,0.0,0.0,0.0,26.55627,292.119,299.62415,1,0.3,6.780221,105.62793,99.0,0.63284165,99.0,0.0,0,SA_PV2025,0.63284165,3.0,1425.6042,1,43.281433,3.0,0.1623695,1.8462487,0,0.0,6.1402197,1.4885381,22.51414,85.164986,184.00415,99.0,0.6315739,99.0,0.0,0,SA_PV2030,0.6315739,3.0,109.8739,1,59.51197,3.0,0.012514112
22.48159,0.0,Sierra Leone,103.399,3.196,0.0,2002.0,0.009,0,23.45873,0,0.0,8.0625,60.657,3.196,21.46318,91.5,7.498,103.388,9999,1.98333,-11.58929,9.99528,16,Northern,0,0,0,0,0,0,1.070245,0.009425898,26.504719,0.0,27.185682,27.884142,26.504719,0,3.196,99,0.4125,0.0,27.185682,5.2,0,0,0.0,0.0,0.0,21.918457,241.10303,247.29749,1,0.3,8.075747,106.923454,99.0,0.6318933,99.0,0.0,0,SA_PV2025,0.6318933,3.0,1174.8721,1,43.216576,3.0,0.13381231,1.698459,0,0.0,5.648703,1.3693826,20.711912,91.30996,190.14912,99.0,0.63062745,99.0,0.0,0,SA_PV2030,0.63062745,3.0,100.92718,1,59.42279,3.0,0.011495123
23.417883,0.0,Sierra Leone,114.562,2.029,0.0,2016.0,0.009,0,53.6734,0,0.0,8.0625,84.3,2.029,22.35706,91.5,7.108,114.56,9999,2.26667,-11.25426,9.99528,17,Northern,0,0,0,0,0,0,1.070245,0.005421844,27.608564,0.0,28.317888,29.045437,27.608564,0,2.029,99,0.375,0.0,28.317888,5.2,0,0,0.0,0.0,0.0,22.831299,251.14427,257.5967,1,0.3,7.7795405,106.62725,99.0,0.6275052,99.0,0.0,0,SA_PV2025,0.6275052,3.0,1215.3036,1,42.91646,3.0,0.13841726,1.7275479,0,0.0,5.223133,1.3928355,20.544323,92.30662,191.14578,99.0,0.6262481,99.0,0.0,0,SA_PV2030,0.6262481,3.0,99.41532,1,57.54707,3.0,0.0113229295
23.417883,0.0,Sierra Leone,109.914,8.906,0.0,2014.0,0.009,0,43.4125,0,0.0,8.0625,75.916,8.906,22.35706,91.5,10.381,109.91,9999,2.66667,-11.35593,9.99444,18,Northern,0,0,0,0,0,0,1.0606391,0.00394515,27.608564,0.0,28.317888,29.045437,27.608564,0,8.906,99,0.375,0.0,28.317888,5.2,0,0,0.0,0.0,0.0,22.831299,251.14427,257.5967,1,0.3,7.7795405,106.62725,99.0,0.6281283,99.0,0.0,0,SA_PV2025,0.6281283,3.0,1216.5104,1,42.95908,3.0,0.13855472,1.7275479,0,0.0,5.223133,1.3928355,20.544323,92.30662,191.14578,99.0,0.62687004,99.0,0.0,0,SA_PV2030,0.62687004,3.0,99.514046,1,57.604218,3.0,0.011334173
23.417883,0.0,Sierra Leone,112.421,3.992,0.0,2014.0,0.009,0,49.23198,0,0.0,8.0625,80.61,3.992,22.35706,91.5,6.902,112.418,9999,2.62331,-11.29759,9.99444,19,Northern,0,0,0,0,0,0,1.070245,0.004876919,27.608564,0.0,28.317888,29.045437,27.608564,0,3.992,99,0.375,0.0,28.317888,5.2,0,0,0.0,0.0,0.0,22.831299,251.14427,257.5967,1,0.3,7.7795405,106.62725,99.0,0.6281283,99.0,0.0,0,SA_PV2025,0.6281283,3.0,1216.5104,1,42.95908,3.0,0.13855472,1.7275479,0,0.0,5.223133,1.3928355,20.544323,92.30662,191.14578,99.0,0.62687004,99.0,0.0,0,SA_PV2030,0.62687004,3.0,99.514046,1,57.604218,3.0,0.011334173
27.23856,0.0,Sierra Leone,102.237,2.519,0.0,1996.0,0.009,0,17.28301,0,0.0,8.0625,53.422,2.519,26.00466,91.5,2.389,102.222,9999,2.03333,-11.75764,9.99361,20,Northern,0,0,0,0,0,0,1.0811572,0.00650648,32.112957,0.0,32.93801,33.78426,32.112957,0,2.519,99,0.375,0.0,32.93801,5.2,0,0,0.0,0.0,0.0,26.55627,292.119,299.62415,1,0.3,6.780221,105.62793,99.0,0.63379276,99.0,0.0,0,SA_PV2025,0.63379276,3.0,1427.747,1,43.346485,3.0,0.16261356,1.8462487,0,0.0,5.582018,1.4885381,21.955936,87.3261,186.16527,99.0,0.6325231,99.0,0.0,0,SA_PV2030,0.6325231,3.0,107.31081,1,58.123695,3.0,0.012222187
